threshold,expected_cost,flagged_share,recall
0.01,1086.0,0.8968386023294509,0.9971181556195965
0.02,1010.0,0.8202995008319468,0.9913544668587896
0.03,967.0,0.7712146422628952,0.9855907780979827
0.04,944.0,0.7254575707154742,0.9740634005763689
0.05,929.0,0.6930116472545758,0.9654178674351584
0.06,907.0,0.6613976705490848,0.9596541786743515
0.07,904.0,0.632279534109817,0.9481268011527377
0.08,895.0,0.6181364392678869,0.9452449567723343
0.09,883.0,0.6014975041597338,0.9423631123919308
0.1,875.0,0.5881863560732113,0.9394812680115274
0.11,878.0,0.5507487520798668,0.9221902017291066
0.12,871.0,0.5249584026622296,0.9135446685878963
0.13,869.0,0.5099833610648918,0.9077809798270894
0.14,885.0,0.4966722129783694,0.8962536023054755
0.15,909.0,0.48336106489184694,0.8818443804034583
0.16,926.0,0.47088186356073214,0.8703170028818443
0.17,935.0,0.4584026622296173,0.861671469740634
0.18,959.0,0.44509151414309484,0.8472622478386167
0.19,941.0,0.4301164725457571,0.8472622478386167
0.2,941.0,0.42346089850249585,0.8443804034582133
0.21,935.0,0.4051580698835274,0.8386167146974063
0.22,945.0,0.4001663893510815,0.8328530259365994
0.23,961.0,0.3935108153078203,0.8242074927953891
0.24,968.0,0.3860232945091514,0.8184438040345822
0.25,971.0,0.38186356073211314,0.8155619596541787
0.26,979.0,0.3685524126455907,0.8069164265129684
0.27,973.0,0.36356073211314477,0.8069164265129684
0.28,978.0,0.3544093178036606,0.8011527377521613
0.29,971.0,0.348585690515807,0.8011527377521613
0.3,996.0,0.3427620632279534,0.7896253602305475
0.31,1035.0,0.3286189683860233,0.7694524495677233
0.32,1041.0,0.326955074875208,0.7665706051873199
0.33,1068.0,0.30948419301164726,0.7492795389048992
0.34,1065.0,0.3069883527454243,0.7492795389048992
0.35,1088.0,0.2995008319467554,0.7377521613832853
0.36,1097.0,0.29367720465890185,0.7319884726224783
0.37,1116.0,0.28286189683860236,0.7204610951008645
0.38,1125.0,0.27703826955074873,0.7146974063400576
0.39,1135.0,0.2720465890183028,0.7089337175792507
0.4,1150.0,0.26455906821963393,0.7002881844380403
0.41,1168.0,0.259567387687188,0.69164265129683
0.42,1177.0,0.25374376039933444,0.6858789625360231
0.43,1215.0,0.2454242928452579,0.6685878962536023
0.44,1226.0,0.24126455906821964,0.6628242074927954
0.45,1235.0,0.23544093178036607,0.6570605187319885
0.46,1249.0,0.23377703826955074,0.6512968299711815
0.47,1254.0,0.23128119800332778,0.6484149855907781
0.48,1265.0,0.2271214642262895,0.6426512968299711
0.49,1269.0,0.2237936772046589,0.6397694524495677
0.5,1275.0,0.2221297836938436,0.6368876080691642
0.51,1281.0,0.22046589018302828,0.6340057636887608
0.52,1307.0,0.21547420965058237,0.622478386167147
0.53,1319.0,0.21214642262895175,0.6167146974063401
0.54,1346.0,0.2079866888519135,0.6051873198847262
0.55,1373.0,0.20382695507487522,0.5936599423631124
0.56,1379.0,0.2021630615640599,0.590778097982709
0.57,1385.0,0.20049916805324458,0.5878962536023055
0.58,1404.0,0.19633943427620631,0.579250720461095
0.59,1425.0,0.19384359400998336,0.5706051873198847
0.6,1437.0,0.19051580698835274,0.5648414985590778
0.61,1484.0,0.18302828618968386,0.5446685878962536
0.62,1512.0,0.17970049916805325,0.5331412103746398
0.63,1537.0,0.17387687188019968,0.521613832853026
0.64,1555.0,0.16888519134775373,0.5129682997118156
0.65,1573.0,0.1638935108153078,0.5043227665706052
0.66,1593.0,0.1605657237936772,0.4956772334293948
0.67,1606.0,0.15806988352745424,0.4899135446685879
0.68,1625.0,0.15391014975041598,0.4812680115273775
0.69,1659.0,0.14891846921797006,0.4668587896253602
0.7,1679.0,0.14559068219633944,0.45821325648414984
0.71,1752.0,0.13311148086522462,0.4265129682997118
0.72,1778.0,0.1281198003327787,0.414985590778098
0.73,1791.0,0.12562396006655574,0.4092219020172911
0.74,1830.0,0.11813643926788686,0.3919308357348703
0.75,1858.0,0.11480865224625623,0.3804034582132565
0.76,1865.0,0.11397670549084858,0.37752161383285304
0.77,1865.0,0.11397670549084858,0.37752161383285304
0.78,1876.0,0.10981697171381032,0.37175792507204614
0.79,1897.0,0.10732113144758736,0.3631123919308357
0.8,1932.0,0.10316139767054909,0.34870317002881845
0.81,1939.0,0.10232945091514144,0.345821325648415
0.82,1939.0,0.10232945091514144,0.345821325648415
0.83,1945.0,0.10066555740432612,0.34293948126801155
0.84,1973.0,0.0973377703826955,0.3314121037463977
0.85,1980.0,0.09650582362728785,0.3285302593659942
0.86,1994.0,0.09484193011647254,0.3227665706051873
0.87,2022.0,0.09151414309484193,0.3112391930835735
0.88,2021.0,0.09068219633943428,0.3112391930835735
0.89,2021.0,0.09068219633943428,0.3112391930835735
0.9,2021.0,0.09068219633943428,0.3112391930835735
0.91,2063.0,0.08569051580698835,0.29394812680115273
0.92,2070.0,0.08485856905158069,0.2910662824207493
0.93,2084.0,0.08319467554076539,0.28530259365994237
0.94,2111.0,0.07903494176372712,0.2737752161383285
0.95,2125.0,0.07737104825291181,0.2680115273775216
0.96,2146.0,0.07487520798668885,0.25936599423631124
0.97,2153.0,0.0740432612312812,0.2564841498559078
0.98,2195.0,0.06905158069883527,0.23919308357348704
0.99,2223.0,0.06572379367720466,0.2276657060518732
